City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Evensk,RU,61.95,159.23,42.3,93,100,6.38,light rain
269,Serebryanyy Bor,RU,56.8,124.8,45.82,65,96,6.93,overcast clouds
270,Nizhniye Sergi,RU,56.66,59.3,47.97,85,50,1.72,scattered clouds
271,Morehead,US,37.27,-87.18,51.01,81,1,6.06,clear sky
272,Altamira,BR,-3.2,-52.21,72.68,92,4,3.51,light rain
273,Luderitz,NA,-26.65,15.16,54.97,63,0,18.05,clear sky
274,General Pico,AR,-35.66,-63.76,60.57,62,0,6.58,clear sky
275,Praia,CV,14.92,-23.51,80.6,69,75,10.29,broken clouds
276,Sulangan,PH,11.14,123.72,83.64,70,69,5.53,broken clouds
277,Pemba,MZ,-12.97,40.52,73.4,94,75,5.82,broken clouds
278,Lodwar,KE,3.12,35.6,81.34,55,98,15.03,overcast clouds
279,Joshimath,IN,30.57,79.57,71.04,21,0,4.97,clear sky
280,Westport,US,41.14,-73.36,71.6,94,75,10.29,moderate rain
281,Constitucion,CL,-35.33,-72.42,51.62,85,100,6.22,light rain
282,Dudinka,RU,69.41,86.18,30.2,92,18,13.42,few clouds
283,Kruisfontein,ZA,-34.0,24.73,44.33,85,11,5.26,few clouds
284,Gaffney,US,35.07,-81.65,55.99,94,100,4.5,overcast clouds
285,Kirakira,SB,-10.45,161.92,84.09,69,21,13.13,light rain
286,Porto Novo,BJ,6.5,2.6,78.8,88,40,13.87,scattered clouds
287,Port Keats,AU,-14.25,129.55,90.61,51,18,12.06,few clouds
288,Pontianak,ID,-0.03,109.33,90.57,56,51,1.12,broken clouds
289,Kysyl-Syr,RU,63.9,122.76,37.31,72,6,6.96,clear sky
290,Sabang,ID,5.89,95.32,82.17,73,48,2.26,scattered clouds
291,Denpasar,ID,-8.65,115.22,86.0,79,20,13.87,few clouds
292,Mudanya,TR,40.38,28.88,64.4,93,40,2.15,scattered clouds
293,Krasnovishersk,RU,60.41,57.08,45.64,93,9,2.24,clear sky
294,Martinsburg,US,39.46,-77.96,54.0,93,90,4.7,moderate rain
295,Sao Felix Do Xingu,BR,-6.64,-51.99,75.78,69,12,1.52,few clouds
296,Plettenberg Bay,ZA,-34.05,23.37,50.61,73,9,3.24,clear sky
297,Port Macquarie,AU,-31.43,152.92,73.0,44,100,1.99,overcast clouds
298,Labytnangi,RU,66.66,66.42,47.07,88,100,3.38,overcast clouds
299,Cam Ranh,VN,11.92,109.16,91.4,63,40,5.82,scattered clouds
300,Bongandanga,CD,1.5,21.05,69.62,96,100,1.43,overcast clouds
301,Komsomolets,KZ,53.75,62.07,50.2,83,89,1.72,overcast clouds
302,Abu Dhabi,AE,24.47,54.37,82.4,51,0,6.93,clear sky
303,Dauphin,CA,51.15,-100.05,51.8,50,90,13.87,light rain
304,Vegreville,CA,53.5,-112.05,47.82,51,0,11.68,clear sky
305,Mandali,IQ,33.75,45.55,81.61,24,0,14.88,clear sky
306,Uige,AO,-7.61,15.06,65.64,92,100,1.59,overcast clouds
307,Hami,CN,42.8,93.45,58.06,31,0,9.73,clear sky
