City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Guerrero Negro,MX,86.18,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
107,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
109,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
111,Arraial Do Cabo,BR,73.33,scattered clouds,-22.97,-42.03,Pousada Porto Praia
119,Pringsewu,ID,82.36,clear sky,-5.36,104.97,Urban Style by Front One
120,Fare,PF,79.54,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
125,Ulladulla,AU,69.8,clear sky,-35.35,150.47,Sandpiper Motel
126,Conselheiro Lafaiete,BR,68.86,clear sky,-20.66,-43.79,Hotel Meri
130,Kununurra,AU,84.2,clear sky,-15.77,128.73,Hotel Kununurra
132,Amuntai,ID,88.23,clear sky,-2.42,115.25,Hotel Balqis
133,Bantogon,PH,82.92,broken clouds,6.53,124.03,Kalamansig Greenhome
135,Mackay,AU,80.01,clear sky,-21.15,149.2,International Lodge Motel
136,Praia,CV,77.0,few clouds,14.92,-23.51,LT Aparthotel
137,Manoel Urbano,BR,76.37,broken clouds,-8.84,-69.26,Baixada Beira Rio
138,Soyo,AO,74.71,overcast clouds,-6.13,12.37,Hotel Mpampa
142,San Patricio,MX,82.4,broken clouds,19.22,-104.7,Hotel Cabo Blanco
144,Codajas,BR,79.29,overcast clouds,-3.84,-62.06,Hotel Tamires
147,Naze,JP,82.4,scattered clouds,28.37,129.48,奄美ポートタワーホテル
148,Nouna,BF,78.8,broken clouds,12.73,-3.87,Hôtel Chez Rose-Marie
149,Belmonte,BR,75.2,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
154,Sao Joao Da Barra,BR,74.48,clear sky,-21.64,-41.05,Pousada Porto De Canoas
157,Nara,JP,77.0,scattered clouds,34.69,135.8,Guesthouse Nara Komachi
159,Huilong,CN,75.0,clear sky,31.81,121.66,Hilton Garden Inn Qidong
161,Tangwani,PK,82.06,clear sky,28.28,69.0,DURANI SAHAB
163,Faanui,PF,79.0,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
166,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
168,Marystown,CA,66.99,broken clouds,47.17,-55.15,Marystown Hotel & Convention Centre
169,Sohag,EG,82.4,clear sky,26.56,31.69,Civil Registry - Sohag 1
171,Ixtapa,MX,86.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
172,Plainview,US,66.2,clear sky,40.78,-73.47,Holiday Inn Plainview-Long Island
175,Vanimo,PG,76.77,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
178,Bawku,GH,75.27,overcast clouds,11.06,-0.24,Ultimate Guest House
179,Victoria,HK,80.01,overcast clouds,22.29,114.16,Mini Hotel Central
182,Cayenne,GF,80.6,few clouds,4.93,-52.33,Hôtel Le Dronmi
184,Sao Filipe,CV,79.77,clear sky,14.9,-24.5,Tortuga B&B
186,Jalu,LY,74.48,clear sky,29.03,21.55,Jalu Hotel
187,Jacqueville,CI,77.0,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
189,Shenjiamen,CN,72.52,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
190,Tiarei,PF,84.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
191,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
200,Tremedal,BR,68.86,overcast clouds,-14.98,-41.41,Pousada Estillos
204,Alyangula,AU,89.6,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
206,Port Pirie,AU,69.8,clear sky,-33.18,138.02,John Pirie Motor Inn
207,Bengkulu,ID,80.55,few clouds,-3.8,102.27,Grage Hotel Bengkulu
208,Portland,US,80.6,smoke,45.52,-122.68,Portland Marriott City Center
209,Safita,SY,78.8,scattered clouds,34.82,36.12,Safita Cham Hotel
212,Tahta,EG,82.4,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
213,Halifax,CA,66.0,overcast clouds,44.65,-63.57,Hotel Halifax
220,Turbat,PK,77.76,clear sky,26.0,63.04,Mubashar Quarters
222,Bathsheba,BB,82.4,thunderstorm,13.22,-59.52,Atlantis Hotel
225,Gusau,NG,73.26,clear sky,12.16,6.66,Dr. Salisu Ibrahim
226,Makakilo City,US,86.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
228,Thayetmyo,MM,77.11,broken clouds,19.32,95.18,Ngwe Sin Kyal Guest House
233,Sambava,MG,71.47,overcast clouds,-14.27,50.17,Melrose
236,San Cristobal,VE,66.16,overcast clouds,7.77,-72.22,Pirineos
238,Pozo Colorado,PY,89.82,few clouds,-23.49,-58.8,Hospedaje la Amistad
245,Katsuura,JP,66.2,light rain,35.13,140.3,Katsuura Hotel Mikazuki
247,Harper,LR,77.27,overcast clouds,4.38,-7.72,Screensaver
250,Zhicheng,CN,73.09,scattered clouds,30.3,111.5,Wangjiang Building
253,Punta,PH,86.2,clear sky,8.99,125.34,Vyjannex boarding house
254,Cabedelo,BR,75.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
255,Along,IN,73.0,broken clouds,28.17,94.77,Hotel West
256,Ambon,ID,78.8,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
258,Anage,BR,70.2,overcast clouds,-14.61,-41.14,Lagoa Torta Anage Bahia
260,Ngawen,ID,83.14,scattered clouds,-7.0,111.31,Pak imam bakso
262,Bubaque,GW,80.56,light rain,11.28,-15.83,Casa Dora - Mango Lodge
263,Tual,ID,81.01,broken clouds,-5.67,132.75,Grand Vilia Hotel
265,Ambovombe,MG,66.22,few clouds,-25.17,46.08,MONJA Talilisoa
268,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
272,Ponta Delgada,PT,69.8,broken clouds,37.73,-25.67,Vila Nova Hotel
273,Baihar,IN,68.13,overcast clouds,22.1,80.55,T3 RESORT & RESEARCH CENTRE
